timestamp,views
2021-12-18,1949
2021-12-19,2177
2021-12-20,2443
2021-12-21,2424
2021-12-22,2260
2021-12-23,2408
2021-12-24,2624
2021-12-25,2731
2021-12-26,2547
2021-12-27,2063
2021-12-28,2084
2021-12-29,1872
2021-12-30,2024
2021-12-31,4550
2022-01-01,2413
2022-01-02,1899
2022-01-03,1925
2022-01-04,2015
2022-01-05,2093
2022-01-06,2071
2022-01-07,1928
2022-01-08,1954
2022-01-09,2118
2022-01-10,1957
2022-01-11,2047
2022-01-12,1941
2022-01-13,1935
2022-01-14,1945
2022-01-15,1896
2022-01-16,1986
2022-01-17,2020
2022-01-18,1948
2022-01-19,1917
2022-01-20,1767
2022-01-21,1622
2022-01-22,1666
2022-01-23,1727
2022-01-24,1767
2022-01-25,1877
2022-01-26,1963
2022-01-27,2042
2022-01-28,1846
2022-01-29,1780
2022-01-30,1782
2022-01-31,2080
2022-02-01,2144
2022-02-02,1964
2022-02-03,1860
2022-02-04,1921
2022-02-05,1715
2022-02-06,1769
2022-02-07,1819
2022-02-08,1907
2022-02-09,1891
2022-02-10,2014
2022-02-11,1947
2022-02-12,1769
2022-02-13,2080
2022-02-14,2839
2022-02-15,2223
2022-02-16,2066
2022-02-17,1906
2022-02-18,1970
2022-02-19,1911
2022-02-20,1856
2022-02-21,2294
2022-02-22,2225
2022-02-23,2506
2022-02-24,2181
2022-02-25,2022
2022-02-26,1937
2022-02-27,1942
2022-02-28,2129
2022-03-01,2217
2022-03-02,2333
2022-03-03,2040
2022-03-04,2134
2022-03-05,2114
2022-03-06,2230
2022-03-07,2088
2022-03-08,2202
2022-03-09,2091
2022-03-10,2109
2022-03-11,1956
2022-03-12,1861
2022-03-13,1964
2022-03-14,2273
2022-03-15,2164
2022-03-16,2147
2022-03-17,2564
2022-03-18,2344
2022-03-19,1882
2022-03-20,2134
2022-03-21,2136
2022-03-22,1943
2022-03-23,1927
2022-03-24,2149
2022-03-25,1917
2022-03-26,1803
2022-03-27,1894
2022-03-28,1940
2022-03-29,2086
2022-03-30,2030
2022-03-31,2007
2022-04-01,2084
2022-04-02,1924
2022-04-03,1910
2022-04-04,2057
2022-04-05,2036
2022-04-06,1968
2022-04-07,1965
2022-04-08,1896
2022-04-09,1769
2022-04-10,1783
2022-04-11,2056
2022-04-12,2074
2022-04-13,1876
2022-04-14,1888
2022-04-15,1963
2022-04-16,1926
2022-04-17,2721
2022-04-18,2339
2022-04-19,2075
2022-04-20,1997
2022-04-21,1868
2022-04-22,1663
2022-04-23,1725
2022-04-24,1739
2022-04-25,1956
2022-04-26,2126
2022-04-27,1872
2022-04-28,1814
2022-04-29,1719
