timestamp,views,es_halloween,semana_halloween,dias_para_halloween,views_lag7
2021-02-14,4366,0,0,259,1775.0
2021-02-15,2651,0,0,258,1829.0
2021-02-16,2267,0,0,257,2190.0
2021-02-17,2226,0,0,256,1912.0
2021-02-18,2009,0,0,255,2188.0
2021-02-19,1790,0,0,254,2162.0
2021-02-20,1773,0,0,253,2265.0
2021-02-21,1845,0,0,252,4366.0
2021-02-22,2020,0,0,251,2651.0
2021-02-23,1925,0,0,250,2267.0
2021-02-24,2131,0,0,249,2226.0
2021-02-25,2050,0,0,248,2009.0
2021-02-26,1905,0,0,247,1790.0
2021-02-27,1731,0,0,246,1773.0
2021-02-28,1744,0,0,245,1845.0
2021-03-01,2130,0,0,244,2020.0
2021-03-02,2029,0,0,243,1925.0
2021-03-03,2059,0,0,242,2131.0
2021-03-04,2379,0,0,241,2050.0
2021-03-05,1878,0,0,240,1905.0
2021-03-06,1887,0,0,239,1731.0
2021-03-07,1776,0,0,238,1744.0
2021-03-08,2094,0,0,237,2130.0
2021-03-09,1946,0,0,236,2029.0
2021-03-10,1942,0,0,235,2059.0
2021-03-11,1962,0,0,234,2379.0
2021-03-12,1899,0,0,233,1878.0
2021-03-13,1877,0,0,232,1887.0
2021-03-14,2012,0,0,231,1776.0
2021-03-15,2057,0,0,230,2094.0
2021-03-16,2206,0,0,229,1946.0
2021-03-17,3813,0,0,228,1942.0
2021-03-18,2486,0,0,227,1962.0
2021-03-19,1867,0,0,226,1899.0
2021-03-20,2138,0,0,225,1877.0
2021-03-21,2001,0,0,224,2012.0
2021-03-22,2212,0,0,223,2057.0
2021-03-23,2089,0,0,222,2206.0
2021-03-24,1927,0,0,221,3813.0
2021-03-25,2102,0,0,220,2486.0
2021-03-26,1925,0,0,219,1867.0
2021-03-27,1735,0,0,218,2138.0
2021-03-28,2060,0,0,217,2001.0
2021-03-29,2303,0,0,216,2212.0
2021-03-30,2070,0,0,215,2089.0
2021-03-31,2052,0,0,214,1927.0
2021-04-01,2287,0,0,213,2102.0
2021-04-02,2219,0,0,212,1925.0
2021-04-03,2065,0,0,211,1735.0
2021-04-04,2851,0,0,210,2060.0
2021-04-05,2230,0,0,209,2303.0
2021-04-06,2218,0,0,208,2070.0
2021-04-07,2068,0,0,207,2052.0
2021-04-08,1867,0,0,206,2287.0
2021-04-09,1661,0,0,205,2219.0
2021-04-10,1870,0,0,204,2065.0
2021-04-11,1866,0,0,203,2851.0
2021-04-12,2132,0,0,202,2230.0
2021-04-13,2106,0,0,201,2218.0
2021-04-14,2276,0,0,200,2068.0
2021-04-15,2178,0,0,199,1867.0
2021-04-16,1914,0,0,198,1661.0
2021-04-17,1987,0,0,197,1870.0
2021-04-18,1930,0,0,196,1866.0
2021-04-19,2023,0,0,195,2132.0
2021-04-20,2118,0,0,194,2106.0
2021-04-21,2136,0,0,193,2276.0
2021-04-22,2337,0,0,192,2178.0
2021-04-23,2037,0,0,191,1914.0
2021-04-24,1626,0,0,190,1987.0
2021-04-25,1740,0,0,189,1930.0
2021-04-26,1883,0,0,188,2023.0
2021-04-27,1857,0,0,187,2118.0
2021-04-28,1722,0,0,186,2136.0
2021-04-29,1806,0,0,185,2337.0
2021-04-30,1802,0,0,184,2037.0
2021-05-01,1947,0,0,183,1626.0
2021-05-02,1823,0,0,182,1740.0
2021-05-03,1827,0,0,181,1883.0
2021-05-04,1909,0,0,180,1857.0
2021-05-05,2107,0,0,179,1722.0
2021-05-06,1815,0,0,178,1806.0
2021-05-07,1711,0,0,177,1802.0
2021-05-08,1756,0,0,176,1947.0
2021-05-09,1858,0,0,175,1823.0
2021-05-10,1895,0,0,174,1827.0
2021-05-11,1845,0,0,173,1909.0
2021-05-12,1880,0,0,172,2107.0
2021-05-13,1953,0,0,171,1815.0
2021-05-14,1851,0,0,170,1711.0
2021-05-15,1589,0,0,169,1756.0
2021-05-16,1959,0,0,168,1858.0
2021-05-17,2100,0,0,167,1895.0
2021-05-18,1927,0,0,166,1845.0
2021-05-19,1803,0,0,165,1880.0
2021-05-20,1935,0,0,164,1953.0
2021-05-21,1738,0,0,163,1851.0
2021-05-22,1666,0,0,162,1589.0
2021-05-23,1745,0,0,161,1959.0
2021-05-24,2034,0,0,160,2100.0
2021-05-25,1921,0,0,159,1927.0
2021-05-26,2035,0,0,158,1803.0
2021-05-27,1823,0,0,157,1935.0
2021-05-28,1819,0,0,156,1738.0
2021-05-29,1678,0,0,155,1666.0
2021-05-30,2041,0,0,154,1745.0
2021-05-31,2067,0,0,153,2034.0
2021-06-01,1912,0,0,152,1921.0
2021-06-02,1934,0,0,151,2035.0
2021-06-03,1959,0,0,150,1823.0
2021-06-04,1694,0,0,149,1819.0
2021-06-05,1752,0,0,148,1678.0
2021-06-06,1718,0,0,147,2041.0
2021-06-07,1811,0,0,146,2067.0
2021-06-08,1750,0,0,145,1912.0
2021-06-09,1612,0,0,144,1934.0
2021-06-10,1741,0,0,143,1959.0
2021-06-11,1634,0,0,142,1694.0
2021-06-12,1573,0,0,141,1752.0
2021-06-13,1541,0,0,140,1718.0
2021-06-14,1691,0,0,139,1811.0
2021-06-15,1758,0,0,138,1750.0
2021-06-16,1776,0,0,137,1612.0
2021-06-17,1662,0,0,136,1741.0
2021-06-18,1749,0,0,135,1634.0
2021-06-19,1758,0,0,134,1573.0
2021-06-20,1981,0,0,133,1541.0
2021-06-21,3108,0,0,132,1691.0
2021-06-22,1974,0,0,131,1758.0
2021-06-23,1762,0,0,130,1776.0
2021-06-24,1741,0,0,129,1662.0
2021-06-25,2592,0,0,128,1749.0
2021-06-26,1928,0,0,127,1758.0
2021-06-27,1988,0,0,126,1981.0
2021-06-28,1969,0,0,125,3108.0
2021-06-29,2106,0,0,124,1974.0
2021-06-30,2036,0,0,123,1762.0
2021-07-01,2128,0,0,122,1741.0
2021-07-02,2193,0,0,121,2592.0
2021-07-03,2043,0,0,120,1928.0
2021-07-04,2389,0,0,119,1988.0
2021-07-05,2509,0,0,118,1969.0
2021-07-06,2361,0,0,117,2106.0
2021-07-07,2215,0,0,116,2036.0
2021-07-08,2173,0,0,115,2128.0
2021-07-09,2016,0,0,114,2193.0
2021-07-10,1943,0,0,113,2043.0
2021-07-11,2016,0,0,112,2389.0
2021-07-12,2143,0,0,111,2509.0
2021-07-13,2152,0,0,110,2361.0
2021-07-14,2147,0,0,109,2215.0
2021-07-15,2136,0,0,108,2173.0
2021-07-16,1987,0,0,107,2016.0
2021-07-17,1932,0,0,106,1943.0
2021-07-18,2127,0,0,105,2016.0
2021-07-19,2220,0,0,104,2143.0
2021-07-20,2247,0,0,103,2152.0
2021-07-21,2199,0,0,102,2147.0
2021-07-22,2252,0,0,101,2136.0
2021-07-23,2260,0,0,100,1987.0
2021-07-24,2099,0,0,99,1932.0
2021-07-25,2298,0,0,98,2127.0
2021-07-26,2286,0,0,97,2220.0
2021-07-27,2347,0,0,96,2247.0
2021-07-28,2465,0,0,95,2199.0
2021-07-29,2430,0,0,94,2252.0
2021-07-30,2291,0,0,93,2260.0
2021-07-31,2149,0,0,92,2099.0
2021-08-01,2448,0,0,91,2298.0
2021-08-02,2595,0,0,90,2286.0
2021-08-03,2582,0,0,89,2347.0
2021-08-04,2676,0,0,88,2465.0
2021-08-05,2572,0,0,87,2430.0
2021-08-06,2521,0,0,86,2291.0
2021-08-07,2470,0,0,85,2149.0
2021-08-08,2646,0,0,84,2448.0
2021-08-09,2819,0,0,83,2595.0
2021-08-10,2815,0,0,82,2582.0
2021-08-11,2845,0,0,81,2676.0
2021-08-12,2849,0,0,80,2572.0
2021-08-13,3202,0,0,79,2521.0
2021-08-14,2973,0,0,78,2470.0
2021-08-15,3216,0,0,77,2646.0
2021-08-16,3132,0,0,76,2819.0
2021-08-17,3235,0,0,75,2815.0
2021-08-18,3088,0,0,74,2845.0
2021-08-19,3353,0,0,73,2849.0
2021-08-20,3277,0,0,72,3202.0
2021-08-21,3280,0,0,71,2973.0
2021-08-22,3442,0,0,70,3216.0
2021-08-23,3607,0,0,69,3132.0
2021-08-24,3723,0,0,68,3235.0
2021-08-25,3615,0,0,67,3088.0
2021-08-26,3776,0,0,66,3353.0
2021-08-27,3578,0,0,65,3277.0
2021-08-28,3713,0,0,64,3280.0
2021-08-29,4157,0,0,63,3442.0
2021-08-30,4466,0,0,62,3607.0
2021-08-31,4537,0,0,61,3723.0
2021-09-01,4931,0,0,60,3615.0
2021-09-02,5255,0,0,59,3776.0
2021-09-03,5135,0,0,58,3578.0
2021-09-04,4975,0,0,57,3713.0
2021-09-05,5773,0,0,56,4157.0
2021-09-06,6341,0,0,55,4466.0
2021-09-07,6250,0,0,54,4537.0
2021-09-08,6001,0,0,53,4931.0
2021-09-09,6601,0,0,52,5255.0
2021-09-10,6359,0,0,51,5135.0
2021-09-11,6351,0,0,50,4975.0
2021-09-12,7331,0,0,49,5773.0
2021-09-13,7450,0,0,48,6341.0
2021-09-14,7610,0,0,47,6250.0
2021-09-15,7719,0,0,46,6001.0
2021-09-16,8173,0,0,45,6601.0
2021-09-17,7836,0,0,44,6359.0
2021-09-18,8273,0,0,43,6351.0
2021-09-19,10181,0,0,42,7331.0
2021-09-20,10822,0,0,41,7450.0
2021-09-21,11149,0,0,40,7610.0
2021-09-22,19443,0,0,39,7719.0
2021-09-23,14632,0,0,38,8173.0
2021-09-24,11748,0,0,37,7836.0
2021-09-25,11634,0,0,36,8273.0
2021-09-26,13167,0,0,35,10181.0
2021-09-27,13703,0,0,34,10822.0
2021-09-28,13554,0,0,33,11149.0
2021-09-29,14407,0,0,32,19443.0
2021-09-30,16824,0,0,31,14632.0
2021-10-01,22905,0,0,30,11748.0
2021-10-02,23969,0,0,29,11634.0
2021-10-03,24183,0,0,28,13167.0
2021-10-04,24608,0,0,27,13703.0
2021-10-05,24031,0,0,26,13554.0
2021-10-06,23909,0,0,25,14407.0
2021-10-07,24006,0,0,24,16824.0
2021-10-08,23195,0,0,23,22905.0
2021-10-09,22843,0,0,22,23969.0
2021-10-10,24646,0,0,21,24183.0
2021-10-11,25723,0,0,20,24608.0
2021-10-12,26107,0,0,19,24031.0
2021-10-13,27133,0,0,18,23909.0
2021-10-14,29250,0,0,17,24006.0
2021-10-15,30239,0,0,16,23195.0
2021-10-16,26796,0,0,15,22843.0
2021-10-17,30221,0,0,14,24646.0
2021-10-18,33443,0,0,13,25723.0
2021-10-19,32882,0,0,12,26107.0
2021-10-20,35724,0,0,11,27133.0
2021-10-21,35715,0,0,10,29250.0
2021-10-22,37244,0,0,9,30239.0
2021-10-23,39019,0,0,8,26796.0
2021-10-24,46015,0,1,7,30221.0
2021-10-25,55480,0,1,6,33443.0
2021-10-26,58511,0,1,5,32882.0
2021-10-27,67948,0,1,4,35724.0
2021-10-28,87238,0,1,3,35715.0
2021-10-29,132913,0,1,2,37244.0
2021-10-30,207562,0,1,1,39019.0
2021-10-31,589953,1,1,0,46015.0
2021-11-01,211225,0,0,0,55480.0
2021-11-02,65036,0,0,0,58511.0
2021-11-03,32471,0,0,0,67948.0
